0.000,0.000
0.006,0.010
0.012,0.020
0.018,0.030
0.024,0.040
0.030,0.050
0.036,0.060
0.900,0.500
0.906,0.510
0.912,0.520
0.918,0.530
0.924,0.540
0.930,0.550
0.936,0.560
0.942,0.570
0.948,0.580
0.954,0.590
0.960,0.600
1.020,0.700
1.026,0.710
1.032,0.720
1.038,0.730
1.044,0.740
1.914,0.190
1.920,0.200
1.926,0.210
1.932,0.220
1.938,0.230
1.944,0.240
1.950,0.250
1.956,0.260
1.962,0.270
1.968,0.280
1.974,0.290
1.980,0.300
1.986,0.310
1.992,0.320
1.998,0.330
3.805,0.340
3.811,0.350
3.817,0.360
3.823,0.370
3.829,0.380
3.835,0.390
3.841,0.400
3.847,0.410
3.853,0.420
3.859,0.430
3.865,0.440
3.871,0.450
3.877,0.460
3.883,0.470
3.889,0.480
3.895,0.490
4.651,0.750
4.657,0.760
4.663,0.770
4.669,0.780
4.675,0.790
4.735,0.890
4.741,0.900
4.747,0.910
4.753,0.920
4.759,0.930
4.765,0.940
4.771,0.950
4.777,0.960
4.783,0.970
4.789,0.980
5.209,0.680
5.215,0.690
5.281,0.800
5.287,0.810
5.293,0.820
5.299,0.830
5.311,0.850
5.317,0.860
5.323,0.870
5.329,0.880
